Date : 2020-06-16 00:25:25
Directory : /home/dungd/workspace/mobile-store-client
Total : 74 files,  3410 codes, 195 comments, 372 blanks, all 3977 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/dungd/workspace/mobile-store-client/src/pages/Users/UserDetail.jsx                  | JavaScript React |         73 |         50 |         11 |        134 |
| /home/dungd/workspace/mobile-store-client/src/pages/Users/UserList.jsx                    | JavaScript React |         49 |          1 |          7 |         57 |
| /home/dungd/workspace/mobile-store-client/src/pages/Users/UserRegister.jsx                | JavaScript React |         56 |          7 |          8 |         71 |
| /home/dungd/workspace/mobile-store-client/src/pages/Users/UserRegisterv2.jsx              | JavaScript React |         35 |          1 |          2 |         38 |
| /home/dungd/workspace/mobile-store-client/src/pages/Users/UserRouting.jsx                 | JavaScript React |         45 |          0 |          3 |         48 |
| /home/dungd/workspace/mobile-store-client/src/redux/AllUsersSlice.jsx                     | JavaScript React |         32 |          2 |          4 |         38 |
| /home/dungd/workspace/mobile-store-client/src/redux/CustomerSlice.js                      | JavaScript       |         61 |          3 |          5 |         69 |
| /home/dungd/workspace/mobile-store-client/src/redux/ProductSlice.js                       | JavaScript       |         53 |          6 |          6 |         65 |
| /home/dungd/workspace/mobile-store-client/src/redux/ProviderSlice.js                      | JavaScript       |        119 |          7 |         14 |        140 |
| /home/dungd/workspace/mobile-store-client/src/redux/ReduxSliceBase.js                     | JavaScript       |        119 |          1 |         11 |        131 |
| /home/dungd/workspace/mobile-store-client/src/redux/UserSlice.js                          | JavaScript       |         62 |          6 |          6 |         74 |
| /home/dungd/workspace/mobile-store-client/src/redux/index.js                              | JavaScript       |          3 |          0 |          0 |          3 |
| /home/dungd/workspace/mobile-store-client/src/routeConfig.js                              | JavaScript       |          2 |          0 |          2 |          4 |
| /home/dungd/workspace/mobile-store-client/src/serviceWorker.js                            | JavaScript       |         94 |         31 |         13 |        138 |
| /home/dungd/workspace/mobile-store-client/src/services/LocalStorageService.js             | JavaScript       |         26 |          6 |          8 |         40 |
| /home/dungd/workspace/mobile-store-client/src/services/http.js                            | JavaScript       |         20 |          5 |          6 |         31 |
| /home/dungd/workspace/mobile-store-client/src/setupTests.js                               | JavaScript       |          1 |          4 |          1 |          6 |
| /home/dungd/workspace/mobile-store-client/src/utils/CheckLogin.js                         | JavaScript       |         13 |          3 |          4 |         20 |
| /home/dungd/workspace/mobile-store-client/src/utils/ObjectUtils.js                        | JavaScript       |         30 |          0 |          5 |         35 |
| /home/dungd/workspace/mobile-store-client/src/utils/ReduxHelper.js                        | JavaScript       |          6 |          0 |          2 |          8 |
| /home/dungd/workspace/mobile-store-client/src/utils/index.js                              | JavaScript       |          3 |          0 |          1 |          4 |
| /home/dungd/workspace/mobile-store-client/src/utils/sort.js                               | JavaScript       |          8 |          0 |          2 |         10 |
| /home/dungd/workspace/mobile-store-client/src/utils/validate.js                           | JavaScript       |          2 |          0 |          0 |          2 |
| Total                                                                                     |                  |      3,410 |        195 |        372 |      3,977 |
+-------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
