"filename", "language", "JSON", "XML", "JavaScript React", "CSS", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"/home/dungd/workspace/mobile-store-client/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 37, 0, 32, 69
"/home/dungd/workspace/mobile-store-client/package.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 1, 55
"/home/dungd/workspace/mobile-store-client/public/index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"/home/dungd/workspace/mobile-store-client/public/manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/home/dungd/workspace/mobile-store-client/src/App.css", "CSS", 0, 0, 0, 35, 0, 0, 0, 0, 7, 42
"/home/dungd/workspace/mobile-store-client/src/App.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"/home/dungd/workspace/mobile-store-client/src/app/logo.svg", "XML", 0, 42, 0, 0, 0, 0, 0, 1, 0, 43
"/home/dungd/workspace/mobile-store-client/src/app/store.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"/home/dungd/workspace/mobile-store-client/src/components/FormInputs/CustomerInput.jsx", "JavaScript React", 0, 0, 79, 0, 0, 0, 0, 0, 5, 84
"/home/dungd/workspace/mobile-store-client/src/components/FormInputs/CustomerInputs.jsx", "JavaScript React", 0, 0, 85, 0, 0, 0, 0, 0, 3, 88
"/home/dungd/workspace/mobile-store-client/src/components/FormInputs/ProductInputs.jsx", "JavaScript React", 0, 0, 137, 0, 0, 0, 0, 1, 4, 142
"/home/dungd/workspace/mobile-store-client/src/components/FormInputs/UserInput.jsx", "JavaScript React", 0, 0, 61, 0, 0, 0, 0, 0, 5, 66
"/home/dungd/workspace/mobile-store-client/src/components/FormInputs/UserRegisterInput.jsx", "JavaScript React", 0, 0, 72, 0, 0, 0, 0, 0, 7, 79
"/home/dungd/workspace/mobile-store-client/src/components/common/DataTable.jsx", "JavaScript React", 0, 0, 165, 0, 0, 0, 0, 0, 7, 172
"/home/dungd/workspace/mobile-store-client/src/components/common/DetailPage.jsx", "JavaScript React", 0, 0, 75, 0, 0, 0, 0, 1, 9, 85
"/home/dungd/workspace/mobile-store-client/src/components/common/FormLayout.jsx", "JavaScript React", 0, 0, 33, 0, 0, 0, 0, 0, 5, 38
"/home/dungd/workspace/mobile-store-client/src/components/common/IF.jsx", "JavaScript React", 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"/home/dungd/workspace/mobile-store-client/src/components/common/LoadingPage.jsx", "JavaScript React", 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
